date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:40:48	159/159	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2011%20Sep%202020%2007:40:49%20GMT	https://web-spark.yolasite.com/ws/globals/addresses/index.html	E:/Test/Gestor/web-spark.yolasite.com/ws/globals/addresses/index.html	(from https://web-spark.yolasite.com/)
09:40:49	159/159	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2011%20Sep%202020%2007:40:49%20GMT	https://web-spark.yolasite.com/ws/globals/phones/index.html	E:/Test/Gestor/web-spark.yolasite.com/ws/globals/phones/index.html	(from https://web-spark.yolasite.com/)
09:40:50	159/159	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2011%20Sep%202020%2007:40:50%20GMT	https://web-spark.yolasite.com/ws/globals/emails/index.html	E:/Test/Gestor/web-spark.yolasite.com/ws/globals/emails/index.html	(from https://web-spark.yolasite.com/)
09:40:50	159/159	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2011%20Sep%202020%2007:40:50%20GMT	https://web-spark.yolasite.com/ws/globals/business-hours/index.html	E:/Test/Gestor/web-spark.yolasite.com/ws/globals/business-hours/index.html	(from https://web-spark.yolasite.com/)
09:40:51	159/159	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2011%20Sep%202020%2007:40:51%20GMT	https://web-spark.yolasite.com/ws/block-templates/page-title-with-plain-text/index.html	E:/Test/Gestor/web-spark.yolasite.com/ws/block-templates/page-title-with-plain-text/index.html	(from https://web-spark.yolasite.com/)
09:40:57	56941/56941	---M--	200	added ('OK')	image/jpeg	date:Mon,%2017%20Aug%202020%2000:45:49%20GMT	https://web-spark.yolasite.com/ws/media-library/fc9a745a57ef48beaaef2254f40593e7/footer-bg.jpg	E:/Test/Gestor/web-spark.yolasite.com/ws/media-library/fc9a745a57ef48beaaef2254f40593e7/footer-bg.jpg	(from https://web-spark.yolasite.com/)
09:41:03	159/159	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2011%20Sep%202020%2007:41:00%20GMT	https://web-spark.yolasite.com/ws/block-templates/team-members-with-media/index.html	E:/Test/Gestor/web-spark.yolasite.com/ws/block-templates/team-members-with-media/index.18.delayed	(from https://web-spark.yolasite.com/)
09:41:05	774/774	---MCZ	200	added ('OK')	image/svg+xml	date:Mon,%2017%20Aug%202020%2000:45:49%20GMT	https://web-spark.yolasite.com/ws/common/icons/facebook-logo.ws-intense-next-coworking.svg	E:/Test/Gestor/web-spark.yolasite.com/ws/common/icons/facebook-logo.ws-intense-next-coworking.svg	(from https://web-spark.yolasite.com/)
09:41:06	129156/129156	---M--	200	added ('OK')	image/jpeg	date:Mon,%2017%20Aug%202020%2000:45:49%20GMT	https://web-spark.yolasite.com/ws/blocks/cover-with-business-info/images/image-1.ws-intense-next-coworking.jpg	E:/Test/Gestor/web-spark.yolasite.com/ws/blocks/cover-with-business-info/images/image-1.ws-intense-next-coworking.jpg	(from https://web-spark.yolasite.com/)
09:41:07	368747/368747	---M--	200	added ('OK')	image/png	date:Mon,%2017%20Aug%202020%2000:45:49%20GMT	https://web-spark.yolasite.com/ws/media-library/d491616be9464876beba540957b30650/banner-bg.png	E:/Test/Gestor/web-spark.yolasite.com/ws/media-library/d491616be9464876beba540957b30650/banner-bg.png	(from https://web-spark.yolasite.com/)
09:41:07	1261/1261	---M-Z	200	added ('OK')	image/svg+xml	date:Mon,%2017%20Aug%202020%2000:45:49%20GMT	https://web-spark.yolasite.com/ws/common/icons/instagram-logo.ws-intense-next-coworking.svg	E:/Test/Gestor/web-spark.yolasite.com/ws/common/icons/instagram-logo.ws-intense-next-coworking.svg	(from https://web-spark.yolasite.com/)
09:41:09	1064/1064	---MCZ	200	added ('OK')	image/svg+xml	date:Mon,%2017%20Aug%202020%2000:45:49%20GMT	https://web-spark.yolasite.com/ws/common/icons/twitter-logo.ws-intense-next-coworking.svg	E:/Test/Gestor/web-spark.yolasite.com/ws/common/icons/twitter-logo.ws-intense-next-coworking.svg	(from https://web-spark.yolasite.com/)
09:41:10	513/513	---MCZ	200	added ('OK')	image/svg+xml	date:Mon,%2017%20Aug%202020%2000:45:49%20GMT	https://web-spark.yolasite.com/ws/blocks/team-members-with-media/icons/outline-mail.ws-intense-next-coworking.svg	E:/Test/Gestor/web-spark.yolasite.com/ws/blocks/team-members-with-media/icons/outline-mail.ws-intense-next-coworking.svg	(from https://web-spark.yolasite.com/)
